ITZ_GEOID,SQUARE_METER_GREENSPACE_COVERAGE
"QN247",20086.35724656002
"QN483",76514.01471360015
"QN489",84863.74511088002
"QN263",43871.83483680002
"QN265",54600.18499296006
"QN479",123359.04876528001
"QN485",90811.72289232006
"QN243",100422.19399392017
"QN531",65136.736823040046
"QN219",295368.8182934399
"QN271",31939.252250400015
"QN457",47433.040617599996
"QN459",43275.58312608
"QN461",32007.11792112
"QN467",44444.95369056007
"QN469",44519.438702879954
"QN473",39134.10495743999
"QN463",54598.23402912
"QN471",58749.977983680066
"QN683",53695.123577280036
"QN475",77496.74307072004
"BX343",38434.87022687998
"BX345",56489.83282656003
"BX337",130162.17580416022
"BX351",199264.54856687988
"BX323",319883.7008764801
"BX335",258978.8833315203
"BK1058.01",206832.87149471996
"BK1058.04",313240.57609824004
"BK1070",854987.6061503992
"QN330",261830.21698367997
"QN320",285790.8864816
"BK104",34206.87610223998
"BK120",33388.21451376008
"BK126",71717.43075840009
"BK403",37513.06303824003
"BK411",20607.055559999993
"BX44",107382.39684768004
"BX48",41324.34057695997
"BX46",28727.083190880025
"BX50.01",14046.939648
"BX24",564366.2493297615
"BX28",100463.97713616006
"QN502.01",63453.33373823998
"QN480",49495.209396479986
"QN482",83339.85654576008
"QN404",161611.4574216001
"QN484",89913.6988819201
"QN500",87102.49934303998
"SI323",1778043.8297116794
"BK784",52761.14609040002
"BK832",32155.20536688004
"BK836",24438.260800800017
"BK838",37103.24450303998
"BK834",30028.399297919997
"BK782",59626.820100959965
"BK830",42115.479639840014
"BK780",50241.33693648001
"BK726",67766.17156416002
"QN230",48282.38343503997
"QN1241",166248.48040560028
"QN450",43921.514737440026
"QN779.05",141386.97658032022
"QN1267",230829.63382368017
"QN452",93637.67078880004
"QN1265",51593.88907008001
"QN220.02",83725.61319360006
"QN358",159720.1141075199
"QN328",134151.40911600005
"QN682",71059.58433216004
"QN650",130383.58697424005
"QN134",50900.55368255999
"QN1291.04",254507.87807999988
"QN861",39248.84021184
"QN1157",89530.70609952
"QN1185",36109.53036144003
"QN1187",67056.06717792003
"QN1191",45020.76673248004
"QN1199",56655.01443167995
"QN1163",49537.43382815997
"QN1171",109111.85661456
"QN1155",51104.31327504007
"QN1167",39696.81867072
"QN1189",62131.90412304003
"SI134",280422.13592880015
"BX409",323506.78008191974
"BX411",10394.549533440013
"BX413",14809.16263968001
"SI208.04",471077.8475198396
"SI208.01",1208180.6468596808
"SI208.03",1009304.3168711995
"QN114",23156.013042719977
"QN116",42820.35823008003
"QN32",52414.71065424
"BK505",50287.556198880025
"BK489",50819.07771648005
"BK493",93947.71145904005
"BK389",34120.05821135995
"BK391",39474.33911568002
"BK417",43826.70718512002
"BK433",49901.35826159996
"BK435",46485.267029279974
"BK441",36324.36864143999
"BK443",33765.74924255999
"QN547",36703.36659312
"BK437",46175.48184240016
"QN334.02",264165.45102288015
"SI9",120347.78252976018
"SI3",166651.84217951994
"SI7",299235.4660440004
"BK589",69360.15547295997
"BK593",30767.907496320007
"QN205",70646.49096479978
"BK41",58630.71370608003
"BK67",59158.21716720002
"BK69",52326.70824960001
"BK43",37680.00980112002
"BK45",70556.14275840003
"BK65",80133.6797323199
"BK5.01",41662.83280320001
"BK49",43708.55774399996
"BK37",14013.215844480004
"BK9",33887.6380310401
"BK11",35846.84701584001
"BK5.02",38622.371787359996
"BK13",118720.02836591999
"BK3.01",109975.1581137599
"BK7",97460.1199180801
"BK1214",81318.86703936003
"BK1116",80228.4176073599
"BK1210",102595.93932383985
"BK1078",93857.22389808009
"BK1220",340748.28366336005
"BK249",52039.544952960074
"BK269",43450.72858224
"BK341",54057.12027264004
"BK313",43671.65201135999
"BK271",73180.07299439999
"BK151",32934.29026031998
"BK153",32602.30124688002
"BK165",29189.020331519972
"BK167",22061.475876960023
"MN149",15204.256043039994
"MN157",23884.11739296
"MN153",29215.613826720022
"BK248",35169.862563359995
"BK252",40361.53992191999
"BK244",32780.16411696004
"SI319.01",126135.24708384009
"SI231",205836.55606799977
"QN964",311155.76220336003
"QN972.02",195392.67502032066
"QN1008.01",272939.9573448002
"BK890",51367.06629791999
"BK884",38796.03079488002
"BK892",26866.32820272001
"BK894",54902.561162400016
"BK886",43497.900100800005
"BK888",44286.53078160002
"QN1175",165782.7806918398
"QN1099",77886.79648416009
"BK243",44489.33811792
"BK233",56625.16933007998
"BK229",52925.932857600026
"BK246",30539.807307360046
"BK254",36633.01576607995
"BK984",25036.55637840002
"BK986",36702.80917488001
"BK1014",52461.51056064004
"BK1016",42077.11068431998
"BK974",65022.419632320045
"BK982",189933.5530353595
"BK988",37461.33927072002
"BK990",50342.20641216004
"BK1012",52147.98602640006
"BK1018",112638.22375536
"QN269.02",16549.701094079996
"QN481",38577.26736143998
"BK235",36153.33414480001
"BK241",32583.55805856001
"BK1237",62619.947017919956
"BX330",21374.48112192001
"BX332.01",10572.296274719998
"BX338",21145.68416016
"BX336",42560.136815040096
"BX332.02",11050.677253440006
"QN472",215451.0916776001
"QN464",98209.03454927998
"QN468",44589.09275712002
"QN458",102400.51777920005
"QN466",88374.50454096044
"BK164",299129.6727072004
"BK440",54724.41958320002
"BK442",58664.18202624001
"BK444",42679.21528655998
"BK454",27409.276794239995
"BK542",49873.85896176001
"BK768",78264.42411600007
"BK128.01",42400.366812000044
"BK130",34903.69535375997
"BK132",51067.89528336002
"BK136",57175.89855119999
"BK66",31968.49348224002
"BK134",86678.04857903994
"BK68",33296.98372847997
"BK206",33665.22815327998
"BK280",46547.88367823999
"BK282",69329.3348894401
"SI170.10",302467.9111920003
"BX365.01",9107.842429440005
"BX373",28100.591540640024
"BX391",20970.678058560006
"BX371",36403.59170879998
"BX393",11717.860435200011
"SI27",106446.0503332802
"SI21",290321.4890332801
"QN987",160884.90919728007
"QN991",406705.1917492802
"QN1377",200370.09474288023
"QN1367",232199.6981803198
"QN599",22311.454731840004
"QN601",28874.148703199964
"QN603",24341.316478559973
"QN521",20745.248832000005
"QN665.01",68524.49262816005
"QN869",116982.83442096009
"QN907",741401.1442915217
"QN383.01",189265.58017776022
"QN793",571813.3570161596
"QN515",49315.18653072004
"SI11",108736.9928481605
"SI77",121289.9819356799
"SI75",135748.3194705599
"SI18",562636.1392416005
"BX130",29067.87476736001
"BX449.01",25227.820512000028
"BX449.02",25803.656779680037
"BK58",36336.8176488
"BK162",71296.51030992002
"BK54",61944.21675648012
"BK56.02",67222.27071647998
"BK52.02",74454.47044559996
"BK56.01",83136.4221139198
"BK336",294484.00974048016
"QN871",103803.79497264005
"QN849",38391.670313280076
"BK481",40565.53177200003
"BK495",27259.331287679997
"SI170.12",399432.0914568003
"QN942.02",325318.29645888
"QN942.01",110614.8652214401
"QN942.03",153208.6561627204
"QN580",185260.64625216002
"BX430",56984.541514560035
"BX436",39237.715072800034
"BK169",23790.86596656008
"BK171",28146.323062080035
"BK502.02",27408.231635040003
"BK155",34249.146985440035
"BK157",43241.185775520054
"SI17",175210.34893343988
"BK970",48269.65571856001
"BK1098",151670.3444006402
"QN245",42826.0485412801
"BK616",257205.38752368037
"BK622",79462.73397743996
"BK1146",24040.171274399996
"BK1172.01",16031.859549120009
"BK1180",501214.4556336005
"BK1142.02",27638.35246512003
"BK36",29453.88689855999
"BK64",48874.24547712001
"BK138",30859.18473312001
"BK62",38433.12829488
"QN928",302767.98801120016
"QN922",276024.7331107198
"QN414",130636.79420975992
"QN258",59706.948972960054
"QN264",79083.10893024017
"BK390",46126.73097216001
"BK374.01",62208.71171135992
"BK374.02",100961.63549567998
"SI187.02",300371.4379655998
"SI151",376361.34017904074
"SI187.01",154919.51209584012
"BX163",414266.5934006407
"BX365.02",14911.239854880016
"BX369.01",11611.045164960013
"BX369.02",12145.37699952
"BX395",118947.17629872011
"BX367",10243.907254080008
"BX165",29673.834845760022
"SI128.04",236816.97926832066
"QN1223",140895.26401536007
"QN94",42837.05755152002
"QN104",47909.563535519985
"QN96",48928.33827216001
"QN98",34750.73049839999
"QN100",59449.444971839985
"BK573",49626.713649600104
"BK575",94419.63567647997
"BK579",264555.5741136002
"BK1164",62463.17313792004
"BK1194",52875.32392656002
"BK1118",44582.24115792002
"BK1166",39446.37530064002
"BK1120",62351.34110352003
"BK1208",107674.43755392052
"BK1196",81260.15231808007
"BK1192",59570.12602079997
"BK806",46643.03961695998
"BK814",34380.20994911999
"BK872",31806.238322879995
"BK874.01",37490.696631359984
"BK816",40302.87165215999
