,2010_distance_from_park,2014_distance_from_park,2018_distance_from_park,d_2010_2014_distance_from_park,d_2014_2018_distance_from_park,d_2010_2018_distance_from_park
SI291.02,1096.7037694937733,1096.7037694937708,1078.2197071968694,-2.5011104298755527e-12,-18.484062296901357,-18.484062296903858
QN1008.02,1770.3205425139313,1770.3182728087722,1768.033773504493,-0.0022697051590512274,-2.2844993042792794,-2.2867690094383306
QN1579.03,5693.427650758122,5693.42765075812,5693.427650758114,-1.8189894035458565e-12,-5.4569682106375694e-12,-7.275957614183426e-12
SI156.02,1849.7417570992727,1849.7417570992766,1849.7417570992754,3.865352482534945e-12,-1.1368683772161603e-12,2.7284841053187847e-12
SI121,1195.3928793176485,1195.392879317652,1195.3928793176526,3.410605131648481e-12,6.821210263296962e-13,4.092726157978177e-12
QN1333,2028.4858579576571,2028.4858579576623,2028.4858579576614,5.229594535194337e-12,-9.094947017729282e-13,4.320099833421409e-12
QN1072.01,598.8604689143682,624.83576807861,639.2887581644796,25.975299164241846,14.452990085869601,40.42828925011145
QN254,1035.1316314374171,1035.1316314374187,1034.7604015486143,1.5916157281026244e-12,-0.3712298888044643,-0.37122988880287267
QN954,1061.1399033021396,1061.139903302139,1061.1313329636855,-6.821210263296962e-13,-0.008570338453409931,-0.008570338454092052
SI128.05,3143.361104149998,3143.3611041500008,3143.3611041499994,2.7284841053187847e-12,-1.3642420526593924e-12,1.3642420526593924e-12
QN1033,2409.4473024973713,2409.4473024973745,2409.447302497373,3.183231456205249e-12,-1.3642420526593924e-12,1.8189894035458565e-12
QN1579.02,3233.32520551413,3233.325205514125,3233.325205514131,-5.002220859751105e-12,5.9117155615240335e-12,9.094947017729282e-13
QN54,1285.762719997707,1285.7627199977087,1245.5608029866005,1.5916157281026244e-12,-40.20191701110821,-40.201917011106616
QN680,1687.548780341179,1687.548780341179,1687.5487803411772,0.0,-1.8189894035458565e-12,-1.8189894035458565e-12
QN1479,775.0648697006263,772.0223403560138,771.0081639078094,-3.0425293446124897,-1.0141764482044664,-4.056705792816956
QN1247,1522.6803661491915,1522.680366149191,1522.680366149191,-4.547473508864641e-13,0.0,-4.547473508864641e-13
QN1483,668.3362334478127,668.3362334478126,668.3362334478124,-1.1368683772161603e-13,-1.1368683772161603e-13,-2.2737367544323206e-13
QN243,776.1952426281428,776.1952426281438,776.1952426281434,1.0231815394945443e-12,-3.410605131648481e-13,6.821210263296962e-13
QN838,2362.8416957096265,2362.8416957096306,2362.8416957096324,4.092726157978177e-12,1.8189894035458565e-12,5.9117155615240335e-12
BK594.01,853.806593070656,853.806593070654,853.8065930706558,-2.0463630789890885e-12,1.8189894035458565e-12,-2.2737367544323206e-13
QN928,1919.0852709556355,1919.0852709556361,1919.0852709556345,6.821210263296962e-13,-1.5916157281026244e-12,-9.094947017729282e-13
SI96.01,1928.6257810757318,1928.625781075729,1928.6257810757286,-2.7284841053187847e-12,-4.547473508864641e-13,-3.183231456205249e-12
SI146.08,1082.3291783817308,1082.3291783817306,1082.3291783817308,-2.2737367544323206e-13,2.2737367544323206e-13,0.0
QN1093,1154.6501965077816,1154.6501965077805,1214.3440770256066,-1.1368683772161603e-12,59.693880517826074,59.69388051782494
QN288,1029.3382132856102,1029.3382132856093,1029.3382132856084,-9.094947017729282e-13,-9.094947017729282e-13,-1.8189894035458565e-12
SI21,1085.286865543967,1081.6333203063518,1080.4154718938157,-3.6535452376151625,-1.2178484125361138,-4.871393650151276
QN1241,2990.703099105301,2990.703099105306,2990.7030991053093,5.002220859751105e-12,3.183231456205249e-12,8.185452315956354e-12
QN1429,2299.1032494235883,2299.103249423587,2299.103249423591,-1.3642420526593924e-12,4.092726157978177e-12,2.7284841053187847e-12
QN306,3234.4371921473607,3234.437192147363,3234.4371921473676,2.2737367544323206e-12,4.547473508864641e-12,6.821210263296962e-12
BX462.02,1386.35775538764,1386.357755387638,1386.3577553876378,-2.0463630789890885e-12,-2.2737367544323206e-13,-2.2737367544323206e-12
QN582,1689.1992117174907,1689.1992117174916,1689.1992117174857,9.094947017729282e-13,-5.9117155615240335e-12,-5.002220859751105e-12
SI74,1075.5153112670516,1161.7316370694787,1197.9184172489176,86.21632580242704,36.18678017943898,122.40310598186602
SI147,1552.7983084981868,1552.798308498187,1552.798308498186,2.2737367544323206e-13,-9.094947017729282e-13,-6.821210263296962e-13
QN1507.01,1469.8875191620511,1466.4026511778177,1465.2410285164046,-3.4848679842334604,-1.1616226614130483,-4.646490645646509
QN309.02,1172.5997394811181,1172.599739481115,1152.4364878421068,-3.183231456205249e-12,-20.163251639008195,-20.163251639011378
QN1291.02,2563.6909605027213,2563.6909605027226,2563.690960502721,1.3642420526593924e-12,-1.8189894035458565e-12,-4.547473508864641e-13
QN567,900.8156237564273,904.022325543146,902.9534249475732,3.2067017867187815,-1.0689005955728135,2.137801191145968
QN309.03,1173.0748243406229,1173.0748243406215,1170.4112332989523,-1.3642420526593924e-12,-2.6635910416691786,-2.663591041670543
QN1385.01,930.3218374418344,930.321837441835,930.3218374418337,5.684341886080801e-13,-1.2505552149377763e-12,-6.821210263296962e-13
QN568,1471.013198090655,1471.0131980906544,1471.0131980906542,-4.547473508864641e-13,-2.2737367544323206e-13,-6.821210263296962e-13
SI201,1138.5586471162694,1138.5586471162694,1138.558647116269,0.0,-4.547473508864641e-13,-4.547473508864641e-13
BX264,1184.1894753455274,1184.189475345525,1184.189475345526,-2.5011104298755527e-12,1.1368683772161603e-12,-1.3642420526593924e-12
SI181,1067.680506701157,1055.236414614791,1051.0883839193377,-12.4440920863658,-4.148030695453372,-16.59212278181917
QN484,1278.2321599719419,1278.2321599719419,1278.2321599719419,0.0,0.0,0.0
SI231,1614.9285715394767,1614.9285715394742,1614.9285715394726,-2.5011104298755527e-12,-1.5916157281026244e-12,-4.092726157978177e-12
BK336,1374.6926423761756,1343.3237549674086,1332.867459164485,-31.368887408767023,-10.456295802923705,-41.82518321169073
SI96.02,1600.9718107352876,1600.9718107352887,1600.9718107352849,1.1368683772161603e-12,-3.865352482534945e-12,-2.7284841053187847e-12
SI277.04,2183.060559202583,2183.060559202586,2183.060559202586,2.7284841053187847e-12,0.0,2.7284841053187847e-12
QN320,1178.248641416875,1178.2486414168739,1178.2486414168745,-1.1368683772161603e-12,6.821210263296962e-13,-4.547473508864641e-13
QN1507.02,1911.0442334138738,1911.044233413873,1911.0442334138686,-9.094947017729282e-13,-4.320099833421409e-12,-5.229594535194337e-12
BX160,921.6231020662268,921.6231020662267,921.6231020662259,-1.1368683772161603e-13,-7.958078640513122e-13,-9.094947017729282e-13
QN638,1441.8933452446245,1441.8933452446195,1441.8933452446192,-5.002220859751105e-12,-2.2737367544323206e-13,-5.229594535194337e-12
SI81,977.3188010716498,977.3188010716497,977.3188010716506,-1.1368683772161603e-13,9.094947017729282e-13,7.958078640513122e-13
QN637,1404.030050496977,1518.2362680503188,1556.3050072347655,114.20621755334173,38.06873918444671,152.27495673778844
QN1099,1645.146419749597,1645.1464197495955,1645.1464197495961,-1.5916157281026244e-12,6.821210263296962e-13,-9.094947017729282e-13
BX184,700.0199062114115,700.0199062114115,700.0199062114111,0.0,-3.410605131648481e-13,-3.410605131648481e-13
QN919,1086.5131651325055,1086.5131651325034,1086.5131651325075,-2.0463630789890885e-12,4.092726157978177e-12,2.0463630789890885e-12
QN358,1792.259460787362,1792.2594607873618,1792.2594607873593,-2.2737367544323206e-13,-2.5011104298755527e-12,-2.7284841053187847e-12
QN656,4102.474597466148,4102.474597466144,4102.474597466149,-4.547473508864641e-12,5.4569682106375694e-12,9.094947017729282e-13
BK594.02,946.2474886398604,946.9196474771161,946.9137018055563,0.6721588372556653,-0.0059456715597434595,0.6662131656959218
QN939,1377.0212287207235,1377.0212287207257,1377.021228720727,2.2737367544323206e-12,1.3642420526593924e-12,3.637978807091713e-12
QN779.04,1944.2685460646094,1944.2685460646087,1944.2685460646157,-6.821210263296962e-13,7.048583938740194e-12,6.366462912410498e-12
SI50,2271.3504441433984,2271.3504441433993,2272.276613865708,9.094947017729282e-13,0.926169722308714,0.9261697223096235
SI133.02,728.0349921156316,728.0349921156319,728.0349921156327,3.410605131648481e-13,7.958078640513122e-13,1.1368683772161603e-12
QN540,1507.3108751641555,1507.3108751641591,1507.310875164158,3.637978807091713e-12,-1.1368683772161603e-12,2.5011104298755527e-12
BX2,472.87242446872574,472.8724244687256,472.87242446872636,-1.1368683772161603e-13,7.389644451905042e-13,6.252776074688882e-13
SI114.02,1502.5426586862002,1493.131144205985,1489.9939727125802,-9.411514480215146,-3.1371714934048214,-12.548685973619968
QN499,1001.4717144850229,1001.4717144850234,1001.4717144850224,5.684341886080801e-13,-1.0231815394945443e-12,-4.547473508864641e-13
SI273.02,3427.7582569305046,3427.7582569305046,3427.7582569305073,0.0,2.7284841053187847e-12,2.7284841053187847e-12
SI169.01,1257.8052450267412,1257.8052450267423,1257.8052450267423,1.1368683772161603e-12,0.0,1.1368683772161603e-12
QN1341,1492.2754874933842,1492.2754874933885,1492.2754874933905,4.320099833421409e-12,2.0463630789890885e-12,6.366462912410498e-12
QN803.02,2261.648532249849,2261.648532249849,2261.648532249849,0.0,0.0,0.0
QN1215,1329.7384562549432,1329.738456254942,1329.738456254944,-1.1368683772161603e-12,1.8189894035458565e-12,6.821210263296962e-13
SI319.02,1150.7741768611716,1150.7741768611725,1150.6865871033465,9.094947017729282e-13,-0.087589757825981,-0.0875897578250715
QN580,2593.7346141445014,2593.734614144502,2593.7346141445023,4.547473508864641e-13,4.547473508864641e-13,9.094947017729282e-13
BX310,2141.6755023959754,2141.6755023959763,2141.675502395977,9.094947017729282e-13,9.094947017729282e-13,1.8189894035458565e-12
SI97,1149.588923347724,1149.588923347723,1149.588923347724,-9.094947017729282e-13,9.094947017729282e-13,0.0
BX118,618.7259191833244,618.7259191833245,618.7259191833239,1.1368683772161603e-13,-6.821210263296962e-13,-5.684341886080801e-13
QN814,1070.7782601527515,1070.7782601527504,1070.1187871959862,-1.1368683772161603e-12,-0.659472956764148,-0.6594729567652848
QN1223,1499.4915435967828,1499.4915435967844,1499.4915435967819,1.5916157281026244e-12,-2.5011104298755527e-12,-9.094947017729282e-13
QN404,3213.5329703455523,3213.532970345556,3213.5329703455604,3.637978807091713e-12,4.547473508864641e-12,8.185452315956354e-12
QN663,750.5141862154195,750.5141862154211,750.514186215422,1.5916157281026244e-12,9.094947017729282e-13,2.5011104298755527e-12
BX93,735.7313525371421,735.7313525371422,735.7313525371427,1.1368683772161603e-13,4.547473508864641e-13,5.684341886080801e-13
QN507,1710.6938452497977,1710.693845249797,1710.693845249798,-6.821210263296962e-13,9.094947017729282e-13,2.2737367544323206e-13
QN357,1198.2295216513526,1198.2295216513521,1198.229521651352,-4.547473508864641e-13,-2.2737367544323206e-13,-6.821210263296962e-13
SI29,1193.8193041960642,1193.819304196066,1193.8193041960658,1.8189894035458565e-12,-2.2737367544323206e-13,1.5916157281026244e-12
SI279,2200.3918225273815,2200.391822527381,2200.3918225273783,-4.547473508864641e-13,-2.7284841053187847e-12,-3.183231456205249e-12
SI239,884.1359599968397,884.1359599968403,884.135959996842,5.684341886080801e-13,1.7053025658242404e-12,2.2737367544323206e-12
BK53,933.6812401841602,933.6812401841594,933.6812401841598,-7.958078640513122e-13,4.547473508864641e-13,-3.410605131648481e-13
QN665.01,1353.445588248342,1353.445588248342,1353.4455882483385,0.0,-3.410605131648481e-12,-3.410605131648481e-12
QN317,819.5295195924924,819.5295195924925,819.5295195924936,1.1368683772161603e-13,1.0231815394945443e-12,1.1368683772161603e-12
QN671,1342.5181516357734,1342.518151635773,1342.5181516357713,-4.547473508864641e-13,-1.5916157281026244e-12,-2.0463630789890885e-12
QN440,756.7576184510222,756.7576184510227,756.7576184510215,5.684341886080801e-13,-1.2505552149377763e-12,-6.821210263296962e-13
QN922,3417.2354588294106,3417.235458829415,3417.235458829418,4.547473508864641e-12,2.7284841053187847e-12,7.275957614183426e-12
QN697.02,1220.3252741128383,1220.3252741128395,1220.325274112837,1.1368683772161603e-12,-2.5011104298755527e-12,-1.3642420526593924e-12
QN934.01,1039.5345083330185,1039.5345083330185,1039.5345083330185,0.0,0.0,0.0
QN1141,2748.994532377569,2748.994532377569,2748.9945323775623,0.0,-6.821210263296962e-12,-6.821210263296962e-12
SI64,1290.4147670714935,1298.4406793889307,1326.8314133949411,8.025912317437133,28.39073400601046,36.416646323447594
QN1175,1468.9491885894886,1468.949188589488,1468.9491885894895,-6.821210263296962e-13,1.5916157281026244e-12,9.094947017729282e-13
BK149,737.188509294313,737.1885092943141,737.1885092943148,1.1368683772161603e-12,6.821210263296962e-13,1.8189894035458565e-12
SI67,1535.7400623210683,1535.7400623210697,1535.7400623210688,1.3642420526593924e-12,-9.094947017729282e-13,4.547473508864641e-13
QN284,1859.6679799216126,1859.6679799216126,1859.6679799216147,0.0,2.0463630789890885e-12,2.0463630789890885e-12
QN595,788.0257011219841,788.0257011219843,788.0257011219845,2.2737367544323206e-13,2.2737367544323206e-13,4.547473508864641e-13
QN88,726.343178346396,726.3431783463952,726.3431783463948,-7.958078640513122e-13,-4.547473508864641e-13,-1.2505552149377763e-12
BK75,1296.383607966325,1296.383607966325,1296.3836079663254,0.0,4.547473508864641e-13,4.547473508864641e-13
BK1208,903.9798570987555,903.9798570987564,903.9798570987559,9.094947017729282e-13,-4.547473508864641e-13,4.547473508864641e-13
QN158.02,2700.13550034951,2700.1355003495137,2700.1355003495155,3.637978807091713e-12,1.8189894035458565e-12,5.4569682106375694e-12
QN479,768.843048280941,768.84304828094,768.8430482809397,-1.0231815394945443e-12,-3.410605131648481e-13,-1.3642420526593924e-12
SI33,1333.5922655023458,1333.592265502346,1333.5922655023442,2.2737367544323206e-13,-1.8189894035458565e-12,-1.5916157281026244e-12
SI223,1528.289659711836,1528.3004325292293,1528.3040234683597,0.010772817393217338,0.003590939130390325,0.014363756523607663
QN414,1293.9718191653437,1293.9718191653437,1293.971819165341,0.0,-2.7284841053187847e-12,-2.7284841053187847e-12
BX98,1017.7241106912576,1017.7241106912571,1017.7241106912562,-4.547473508864641e-13,-9.094947017729282e-13,-1.3642420526593924e-12
BK65,770.1067424402509,770.1067424402524,770.1067424402515,1.5916157281026244e-12,-9.094947017729282e-13,6.821210263296962e-13
BK600,1301.24340183617,1301.2434018361712,1301.24340183617,1.1368683772161603e-12,-1.1368683772161603e-12,0.0
BK1220,1491.044526971135,1491.0445269711352,1491.0445269711338,2.2737367544323206e-13,-1.3642420526593924e-12,-1.1368683772161603e-12
BX414,968.6858117062059,966.3292657431272,965.5437504221,-2.356545963078702,-0.7855153210272192,-3.142061284105921
QN1367,2512.417449183379,2512.4174491833796,2512.41744918338,4.547473508864641e-13,4.547473508864641e-13,9.094947017729282e-13
QN123.01,709.1720414443307,709.1720414443315,709.1720414443305,7.958078640513122e-13,-1.0231815394945443e-12,-2.2737367544323206e-13
BX300,1110.967783193674,1110.967783193674,1110.967783193674,0.0,0.0,0.0
QN1459,1864.461327904741,1864.46132790474,1864.461327904739,-9.094947017729282e-13,-1.1368683772161603e-12,-2.0463630789890885e-12
QN646,1795.9118973214206,1795.9118973214229,1795.9118973214224,2.2737367544323206e-12,-4.547473508864641e-13,1.8189894035458565e-12
QN981,2014.2049216985797,2014.20492169858,2014.2049216985815,2.2737367544323206e-13,1.5916157281026244e-12,1.8189894035458565e-12
QN1529.02,1067.1491433936035,1067.1491433936021,1067.1491433936037,-1.3642420526593924e-12,1.5916157281026244e-12,2.2737367544323206e-13
QN62.02,1006.2913603924245,1006.2913603924233,1006.2913603924231,-1.2505552149377763e-12,-1.1368683772161603e-13,-1.3642420526593924e-12
QN334.01,1087.9331132260538,1087.9331132260522,1087.9331132260515,-1.5916157281026244e-12,-6.821210263296962e-13,-2.2737367544323206e-12
BX348,1515.450557097868,1515.4505570978674,1507.1740181724633,-6.821210263296962e-13,-8.276538925404111,-8.276538925404793
BX484,1383.2284497015,1383.2284497014994,1383.228449701501,-6.821210263296962e-13,1.5916157281026244e-12,9.094947017729282e-13
QN613.01,1119.3030595993728,1119.3030595993725,1119.3030595993753,-2.2737367544323206e-13,2.7284841053187847e-12,2.5011104298755527e-12
QN987,1696.3213531910958,1696.3213531910972,1696.3213531911006,1.3642420526593924e-12,3.410605131648481e-12,4.774847184307873e-12
SI273.01,2290.306826004067,2290.306826004067,2290.306826004064,0.0,-2.7284841053187847e-12,-2.7284841053187847e-12
BK706,1125.5663611503417,1125.5663611503405,1125.566361150341,-1.1368683772161603e-12,4.547473508864641e-13,-6.821210263296962e-13
QN964,679.4991216154469,679.4991216154468,643.1303433594203,-1.1368683772161603e-13,-36.36877825602653,-36.368778256026644
QN667.01,1106.9788459721315,1106.97884597213,1106.9788459721315,-1.3642420526593924e-12,1.3642420526593924e-12,0.0
QN1113,1266.2150581991534,1266.2150581991516,1266.2150581991534,-1.8189894035458565e-12,1.8189894035458565e-12,0.0
QN1032.02,1563.3738644216014,1563.3738644216019,1563.3738644216,4.547473508864641e-13,-1.8189894035458565e-12,-1.3642420526593924e-12
BX456,1894.3467172814883,1894.3467172814865,1894.3467172814867,-1.8189894035458565e-12,2.2737367544323206e-13,-1.5916157281026244e-12
