ITZ_GEOID,SQUARE_METER_GREENSPACE_COVERAGE
"QN1155",37794.74505552
"QN1147",101944.75869071996
"QN1141",117244.75131647996
"QN1139",78477.38110944
"QN1085",115702.53762672002
"QN1097",125830.31608080001
"QN1099",53902.13477616002
"QN1113",227091.40130016013
"QN1479",308444.34052943985
"QN1507.02",248090.80962384085
"QN45",42852.4562304
"QN53",14595.741131040002
"QN75",13555.575469440008
"QN77",11232.581405760027
"QN61",9790.912031039998
"QN73",12083.782284000008
"QN65.02",9733.405049280005
"QN155",8345.94459840001
"QN65.01",6041.670497280011
"QN63",11768.399688959998
"QN143",6931.426137120004
"QN145",10866.0556872
"QN147",8784.354044160005
"QN149",5858.953443360003
"QN141",6936.210643680006
"QN297",66020.01247584
"QN299",248577.15703823976
"QN309.04",75467.69422560002
"QN329",47170.03211136004
"QN361",20501.42480352001
"QN367",28402.71222672001
"QN371",42342.69724992003
"QN383.02",1823788.0788681584
"QN383.01",38677.90457952003
"QN865",15344.307375840002
"QN863",12642.896004479997
"QN1163",26565.87977136
"QN1171",84025.2719491201
"QN1167",22314.985047360024
"QN1175",123034.07393136004
"QN1129",102892.76453663972
"QN1133",69709.47090336001
"QN1123",54416.887295040025
"QN1467",70295.85166607995
"QN1471",91450.68677568022
"QN1385.02",1441016.1966715197
"QN1507.01",282252.27936528
"QN1529.02",272813.0982436801
"QN39",7564.211968319998
"QN51",3892.4980214399993
"QN47",43677.08683920003
"QN85",7150.654085760007
"QN43",39189.9164587202
"QN33",16183.012795200026
"QN37",107439.48576575998
"QN57",9301.568493600007
"QN59",14344.763568480006
"QN153",10468.941642719992
"QN157",1398.7946217599983
"QN159",10013.414811840006
"QN161",6192.336002400004
"QN151",10007.167082400014
"QN163",43172.73946080002
"QN295",34726.041515519995
"QN309.02",57692.81106575998
"QN309.03",30257.776903679987
"QN327",9985.079384640005
"QN337",9743.392126080005
"QN339",13415.198976
"QN273",10715.785020000007
"QN351",11387.31141888001
"QN353",14799.91878720002
"QN363",17513.082393120032
"QN375",8184.316534560008
"QN377",12064.272645600005
"QN379",15527.070881279995
"QN365",13732.091245439991
"QN373",42342.23273471997
"QN381",49754.943070559995
"QN871",34811.97682752005
"QN853",9991.768403520009
"QN855",9299.756884319992
"QN857",10794.311314559996
"QN849",11066.261738400033
"QN861",22148.20086479998
"QN1187",42714.00747503998
"QN859",14632.36815456
"QN1185",21695.4146736
"QN1191",27654.93565776002
"QN1199",45520.63153919999
"QN1189",40119.50427696004
"QN1193",43900.63477920003
"QN1181",33914.97475056
"QN1459",74491.56198432003
"QN1463",58790.3675803201
"QN1429",139605.32853072006
"QN1451.01",54845.23998672
"QN1451.02",77917.77964799991
"QN1447",71737.61394384003
"QN1441",94678.74225504004
"QN1385.01",327935.53767599986
"QN1529.01",642569.03227872
"QN1551.01",320788.6461633608
"QN1551.02",411308.51415552036
"QN31",7325.358252480008
"QN19",23365.20746304001
"QN25",59998.06064879996
"QN171",37520.56495872
"QN55",3349.340398080001
"QN169",52359.50302271995
"QN255",18254.704135679993
"QN259",9710.388321120001
"QN261",9322.402000320008
"QN257",9046.061907840007
"QN291",20326.767088319986
"QN293",12865.607817119992
"QN287",11469.623512319995
"QN289",13462.370494560017
"QN279",28301.81952528002
"QN281",26285.800331520026
"QN283",13537.784537280017
"QN285",21668.751501120023
"QN275",12422.715799680005
"QN277",15869.348906400024
"QN403",13848.963269759988
"QN405",9144.121066560003
"QN407",10028.465104320003
"QN409",10102.833987839997
"QN399",24328.681665120013
"QN401",13155.116915519995
"QN799",37895.26614479997
"QN797.01",10255.380779520003
"QN797.02",123161.65303104007
"QN1205",23723.232553439986
"QN845",29359.520635680004
"QN1201",29611.42722863999
"QN837",310260.0375431996
"QN1203",48185.62491888004
"QN1211",790248.1924036802
"QN1207",342790.98925536
"QN1195",55768.55684975997
"QN1417",244598.11983504015
"QN1409.01",71400.3759086401
"QN1435",100246.28208768016
"QN1403",99084.52957248004
"QN1399",108091.54897776002
"QN1377",199025.20711008014
"QN1567",694533.1167374412
"QN1579.01",232864.23362543993
"QN1",88326.70592687992
"QN7",28241.362872000027
"QN179",7168.909533120011
"QN199",520202.62927007943
"QN181.01",3898.0722038400036
"QN183",32051.641703040033
"QN253.01",11998.985034239999
"QN181.02",3102.1254086400013
"QN249",12098.391287040002
"QN251",24045.722231039996
"QN253.02",4259.418577919999
"QN247",10583.955606239997
"QN263",13373.578414079999
"QN483",37492.48501488003
"QN267",13007.679791040006
"QN265",24811.359409440018
"QN269.01",6129.99806256
"QN269.02",4177.594225440002
"QN271",7663.850478720007
"QN481",11017.232159040006
"QN467",12198.006571680005
"QN469",10909.95237359999
"QN463",16445.48710895999
"QN465",11427.399080639996
"QN471",22247.18905392003
"QN411",9697.86963647999
"QN413",13981.605585119998
"QN443.01",19875.60670032003
"QN461",9421.320512159999
"QN415",14857.913509920005
"QN439",10498.299003359994
"QN427",14441.359504320002
"QN803.01",41326.31476656001
"QN793",644805.3245803197
"QN803.02",92014.88693759979
"QN1215",243116.5021531198
"QN1409.02",165456.45876383997
"QN1347",390911.69817503996
"QN1283",1491292.139990401
"QN1367",228600.51828191997
"QN1571.01",325148.44647600007
"QN1579.02",155517.5986416002
"MN86.01",23526.487140480058
"MK579",12749.989983840014
"MK563",25444.145240640042
"QN185.01",8059.06001088
"QN189",11097.175224960009
"QN187",21012.67023264001
"QN185.02",4344.215827679999
"QN235",12587.130954720033
"QN229",960121.2152375984
"QN245",39155.6584627201
"QN243",69063.28380864012
"QN489",32907.09289536004
"QN479",62754.21513647998
"QN485",33593.01926544004
"QN473",10821.833840159987
"QN475",36962.54284895997
"QN457",18107.19733392
"QN459",15374.779572959993
"QN683",24273.961774560015
"QN443.02",17362.254307679996
"QN455",6054.003375840004
"QN719",18041.793593760005
"QN745",23140.312428960005
"QN437.01",14878.770242400014
"QN437.02",12443.549306400011
"QN747",79089.37988543996
"QN809",297502.0346721602
"QN1227.01",140664.58576703988
"QN1227.02",99587.52985680013
"QN1223",118869.3003254401
"QN1341",153057.64227120008
"QN1333",226659.44861568016
"QN1291.03",174863.98317456016
"QN1291.04",260988.60834432006
"QN1291.02",423493.6536561601
"QN1301",185615.14102704014
"QN1571.02",93534.03744768005
"QN1579.03",135223.04568240006
"MK573",14835.29161968
"MK575",18555.036438239986
"MK589",13312.21595616001
"QN205",46485.42960960004
"QN219",29487.030058080025
"QN513",31057.695303840006
"QN511",43800.90336575999
"QN515",37115.066414880006
"QN493.02",26170.228949760018
"QN493.01",28016.258806080015
"QN497",23868.83484287998
"QN499",103146.90080255999
"QN679",44578.61793936005
"QN505",20690.528941440014
"QN687",38967.065291520004
"QN507",90320.21935920013
"QN693",9167.555858400003
"QN717.01",24164.661348000038
"QN717.02",23647.725607679982
"QN697.01",19998.703228319995
"QN713.04",22181.854991040018
"QN721",13854.096162720007
"QN741",35444.48394959999
"QN743",17754.69997440002
"QN779.02",137208.24429264004
"QN779.06",53086.74801984001
"QN1241",117040.43430576022
"QN1247",118920.86151264
"QN1339",61354.97922528003
"QN1277",397794.8844086403
"QN552",108909.00282671992
"QN554",39768.818526720126
"QN1621",135012.43449072025
"QN1617",151160.60864592006
"MK591",38965.834326240016
"MK449",101619.7141795199
"MK593",9214.239636000004
"QN531",28187.432657280013
"QN517",39281.14724399997
"QN521",14094.715036320003
"QN607.01",592551.9632808003
"QN495",16676.188583040013
"QN667.01",40116.926217599976
"QN669",31241.411065440014
"QN671",40780.671986879985
"QN665.01",71558.6826888001
"QN663",195294.49973280024
"QN695",30305.227131359956
"QN697.02",109713.28766975987
"QN711",74060.51510448009
"QN713.06",15041.30411088001
"QN713.03",9165.744249120002
"QN713.05",11327.737344479992
"QN739",34891.85021616
"QN757.02",88433.70700320027
"QN779.04",50539.578920640044
"QN779.07",35450.42974416003
"QN779.08",61400.75719823995
"QN1257",56448.07291008004
"QN1267",194799.9303993599
"QN1265",33939.80308799997
"QN472",195556.02179040015
"QN476",244587.7611460804
"QN492",146409.7794379201
"QN478",210585.7826985607
"QN548",32448.40736112
"QN542",68041.95423840008
"QN556",39175.09842384003
"QN558",33542.99097840003
"QN566",38784.139205760024
"QN564",34875.66186143999
"QN560",29072.194758720063
"QN562",31276.08712512004
"QN535",23983.17525936
"QN525",20685.23346816001
"QN595",38331.09753120005
"QN599",15069.221474399998
"QN601",18966.504002400015
"QN603",18142.29145728
"QN659",25471.714217760018
"QN661",19173.14358912
"QN657.03",37775.792835360015
"QN677",29448.24303888
"QN655.01",644012.9081006398
"QN703",57455.04896063994
"QN707",49243.23312624002
"QN709",56927.91711168006
"QN723",190696.00828464018
"QN737",60024.305757599985
"QN749",181769.14097712075
"QN757.01",33719.97126960005
"QN769.01",34679.636447039964
"QN769.02",15664.544154720008
"QN216",267994.0549785608
"QN779.05",90723.92951952017
"QN779.03",88535.27325167993
"QN220.01",96027.69439583996
"QN230",26890.738476480008
"QN220.02",52905.74967215997
"QN450",25479.68065344003
"QN452",63624.670169760066
"QN456",36652.38604992001
"QN464",88299.81049680007
"QN454",46630.4512550401
"QN458",84412.02730463998
"QN466",69484.20425712013
"QN480",36339.09377328003
"QN482",69395.17991903989
"QN484",54451.02916224001
"QN496",26054.10014975999
"QN540",87636.18085632003
"QN568",118460.99146463998
"MK447",3245.3122190400004
"QN539",161578.61619695972
"MK453",5488.177410720011
"QN591",20416.186264320022
"QN587",13872.955479840004
"QN589",15218.516659680019
"QN593",26240.301067680055
"QN613.01",84057.97381920007
"QN657.02",15730.110475200014
"QN613.02",436369.15564704005
"QN619",22982.563067039984
"QN621",18879.54675696001
"QN637",82471.95634608014
"QN729",38191.74297119999
"QN645",53180.09234928002
"QN731",49727.95473743999
"QN641.02",1704522.8025604808
"QN773",102747.30160176
"QN775",54430.05630096
"QN136",30678.97606128001
"QN138",19035.69354144004
